POCO;Recebidos;Geoquímica de rocha;Geoquímica de fluido;Dados de rocha e fluido;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
7-AB-24D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0024D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;33950;33974;33974;Público;-22:08:13,128;-39:55:00,131;-22.13698;-39.91670306;SIRGAS2000;Definitiva;Direcional;;2945;;MR;22;;604;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS40                          ;;;44899.20838
7-AB-25D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0025D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;33968;33999;33999;Público;-22:05:50,784;-39:54:48,775;-22.09744;-39.91354861;SIRGAS2000;Definitiva;Direcional;0;3284;3282.5;MR;28;0;599;NM;;;;;;;Existe;;Existe;;Existe;;;;;;Existe;;;;;;SS36                          ;;I;44899.20838
7-AB-26D-RJS;x;;;x;7.4281E+11;Petrobras;7AB  0026D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;FECHADO;34005;34038;34038;Público;-22:05:51,235;-39:54:49,787;-22.09756528;-39.91382972;SIRGAS2000;Definitiva;Direcional;;2840;;MR;28;;599;NM;;;;;;;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;SS36                          ;;I;44899.20838
7-AB-27DA-RJS;x;;;;7.4281E+11;Petrobras;7AB  0027DARJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;FECHADO;34104;34129;34129;Público;-22:06:30,656;-39:55:41,063;-22.10851556;-39.92807306;SIRGAS2000;Definitiva;Direcional;;3323;;MR;30;;476;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS42                          ;;I;44899.20838
7-AB-27D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0027D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;ABANDONADO POR ACIDENTE MECÂNICO;ABANDONADO PERMANENTEMENTE;34100;34103;34103;Público;-22:06:30,656;-39:55:41,063;-22.10851556;-39.92807306;SIRGAS2000;Definitiva;Direcional;;555;;MR;30;;476;NM;;;;;;;;;;;;;;;;;;;;;;;SS42                          ;;;44899.20838
7-AB-28D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0028D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;34155;34174;34174;Público;-22:06:30,757;-39:55:40,331;-22.10854361;-39.92786972;SIRGAS2000;Definitiva;Direcional;;2982;;MR;30;;475;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS42                          ;;;44899.20838
7-AB-39D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0039D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;34438;34451;34451;Público;-22:08:35,004;-39:55:31,372;-22.14305667;-39.92538111;SIRGAS2000;Definitiva;Direcional;;3035;;MR;22;;554;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS40                          ;;;44899.20838
7-AB-42D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0042D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR SUBCOMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;34459;34477;34477;Público;-22:08:33,600;-39:55:32,236;-22.14266667;-39.92562111;SIRGAS2000;Definitiva;Direcional;;3438;;MR;22;;534;NM;;;;;;;Existe;;;;Existe;;;;;;;;;;;;SS40                          ;;;44899.20838
7-AB-47D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0047D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;35064;35086;35086;Público;-22:10:53,842;-39:57:12,007;-22.18162278;-39.95333528;SIRGAS2000;Definitiva;Direcional;0;3080;3077;MR;25;0;370;NM;;;;;;;Existe;;Existe;;Existe;;;;;;Existe;;;;;;SS-22;PETROBRAS XVII;I;44899.20838
7-AB-48D-RJS;x;;;;7.4281E+11;Petrobras;7AB  0048D RJS;RJ;Campos;AB;AB   ;ALBACORA;M;N;7;Desenvolvimento;PRODUTOR COMERCIAL DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;35061;35109;35109;Público;-22:10:53,031;-39:57:11,756;-22.1813975;-39.95326556;SIRGAS2000;Definitiva;Direcional;0;2862;2855;MR;25;0;370;NM;;;;;;;Existe;;Existe;;Existe;;;;;;Existe;;;;;;SS-22;PETROBRAS XVII;I;44899.20838
