POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
3-ROV-3-BA,"-11:52:44,687","-37:51:18,238","-11,8790797","-37,8550661",SIRGAS2000,1606,
3-RSP-2-BA,"-12:29:52,520","-38:14:39,748","-12,4979222","-38,2443744",SIRGAS2000,1406,
3-RSP-6-BA,"-12:30:32,725","-38:14:44,796","-12,5090903","-38,2457767",SIRGAS2000,2635,Existe
3-TQ-109-BA,"-12:24:13,924","-38:28:07,618","-12,4038678","-38,4687828",SIRGAS2000,1362,
4-BA-351-BA,"-12:13:49,676","-38:29:43,894","-12,2304656","-38,4955261",SIRGAS2000,890,
4-BB-16-BA,"-12:24:05,285","-38:14:52,684","-12,4014681","-38,2479678",SIRGAS2000,2883,Existe
4-BRSA-94-BA,"-12:18:53,504","-38:14:51,722","-12,3148622","-38,2477006",SIRGAS2000,1300,Existe
4-CX-82-BA,"-12:36:45,849","-38:29:55,483","-12,6127358","-38,4987453",SIRGAS2000,2820,
4-FAX-2-BA,"-11:59:57,806","-37:58:03,206","-11,9993906","-37,9675572",SIRGAS2000,2738,
4-FI-108-BA,"-12:02:01,504","-37:59:45,596","-12,0337511","-37,9959989",SIRGAS2000,2560,
4-FI-109-BA,"-12:02:47,737","-38:00:30,776","-12,0465936","-38,0085489",SIRGAS2000,2030,
4-FI-23-BA,"-12:01:57,150","-38:00:48,939","-12,0325417","-38,0135942",SIRGAS2000,3143,
4-MDU-3-BA,"-12:09:43,291","-38:08:17,057","-12,1620253","-38,1380714",SIRGAS2000,3490,
4-MGL-1-BA,"-12:19:09,758","-38:08:50,115","-12,3193772","-38,1472542",SIRGAS2000,1886,Existe
4-MGN-11-BA,"-12:18:47,332","-38:09:17,893","-12,3131478","-38,1549703",SIRGAS2000,2407,Existe
4-MUI-14-BA,"-12:36:42,018","-38:31:21,671","-12,6116717","-38,5226864",SIRGAS2000,2320,Existe
4-RPJ-64D-BA,"-12:23:57,104","-38:18:45,011","-12,3991956","-38,3125031",SIRGAS2000,2202,Existe
7-AR-142-BA,"-12:07:18,246","-38:10:27,317","-12,1217350","-38,1742547",SIRGAS2000,3163,
7-AR-155-BA,"-12:07:55,914","-38:10:32,930","-12,1321983","-38,1758139",SIRGAS2000,3245,
7-AR-28-BA,"-12:07:15,275","-38:10:20,302","-12,1209097","-38,1723061",SIRGAS2000,1380,
7-AR-53-BA,"-12:07:41,858","-38:10:20,370","-12,1282939","-38,1723250",SIRGAS2000,1380,
7-AR-76-BA,"-12:06:46,335","-38:10:50,735","-12,1128708","-38,1807597",SIRGAS2000,3135,
7-CX-81D-BA,"-12:41:37,972","-38:28:08,510","-12,6938811","-38,4690306",SIRGAS2000,3522,
7-CX-84D-BA,"-12:38:36,379","-38:29:01,826","-12,6434386","-38,4838406",SIRGAS2000,3050,
7-LM-7-BA,"-12:35:25,771","-38:23:20,300","-12,5904919","-38,3889722",SIRGAS2000,3475,
7-MG-180-BA,"-12:20:38,570","-38:10:44,494","-12,3440472","-38,1790261",SIRGAS2000,1390,Existe
7-ROV-10-BA,"-11:52:30,369","-37:51:20,428","-11,8751025","-37,8556744",SIRGAS2000,1506,Existe
7-SC-15-BA,"-12:42:37,491","-38:37:06,700","-12,7104142","-38,6185278",SIRGAS2000,995,
7-SUS-12-BA,"-12:25:09,908","-38:16:59,150","-12,4194189","-38,2830972",SIRGAS2000,2215,
1-AMB-1-BA,"-12:34:28,067","-38:17:53,196","-12,5744631","-38,2981100",SIRGAS2000,3955,Existe
1-RPP-1-BA,"-12:19:23,926","-38:13:29,049","-12,3233128","-38,2247358",SIRGAS2000,3405,Existe
2-AAST-1-AM,"-04:55:16,491","-60:18:30,153","-04,9212475","-60,3083758",SIRGAS2000,1529,Existe
2-AL-1-AL,"-09:39:52,389","-35:41:44,049","-09,6645525","-35,6955692",SIRGAS2000,,Existe
2-BH-1-BA,"-10:55:45,142","-38:30:10,409","-10,9292061","-38,5028914",SIRGAS2000,5409,Existe
2-CES-87-CE,"-02:25:24,427","-40:28:23,251","-02,4234519","-40,4731253",SIRGAS2000,1633,Existe
2-CLST-1-BA,"-11:26:41,044","-38:09:58,815","-11,4447344","-38,1663375",SIRGAS2000,"2148,8",Existe
2-CPST-1-AL,"-10:12:08,162","-36:15:12,344","-10,2022672","-36,2534289",SIRGAS2000,,Existe
2-CPST-2-PA,"-03:43:49,459","-55:24:09,312","-03,7304053","-55,4025867",SIRGAS2000,"989,7",Existe
2-JRST-1-AL,"-09:06:16,785","-35:15:42,045","-09,1046625","-35,2616792",SIRGAS2000,,Existe
2-LFST-1-AM,"-01:57:21,381","-56:58:18,509","-01,9559392","-56,9718081",SIRGAS2000,"3151,7",Existe
2-LMST-1-AL,"-09:40:50,875","-35:57:57,815","-09,6807986","-35,9660597",SIRGAS2000,,Existe
2-LOG-1-BA,"-09:48:29,566","-38:25:26,025","-09,8082128","-38,4238958",SIRGAS2000,5043,Existe
2-MAST-1-BA,"-10:26:56,383","-38:46:13,580","-10,4489953","-38,7704389",SIRGAS2000,"2002,9",Existe
2-MIL-1-AL,"-09:15:18,258","-35:23:26,653","-09,2550717","-35,3907369",SIRGAS2000,,Existe
2-MIST-1-BA,"-10:47:59,094","-38:46:56,730","-10,7997483","-38,7824250",SIRGAS2000,"2876,3",Existe
2-MMST-1-PA,"-03:18:32,446","-56:18:19,420","-03,3090128","-56,3053944",SIRGAS2000,"3001,5",Existe
2-MS-1-AL,"-09:30:04,955","-35:45:54,435","-09,5013764","-35,7651208",SIRGAS2000,,Existe
2-OAST-1-PA,"-01:44:21,357","-55:52:49,383","-01,7392658","-55,8803842",SIRGAS2000,"3096,4",Existe
2-OST-1-BA,"-11:55:11,618","-38:33:22,813","-11,9198939","-38,5563369",SIRGAS2000,"2660,5",Existe
2-PAST-1-AL,"-09:29:17,834","-35:33:51,541","-09,4882872","-35,5643169",SIRGAS2000,,Existe
2-PEST-1-AL,"-09:29:18,602","-35:38:26,795","-09,4885006","-35,6407764",SIRGAS2000,,Existe
2-PEST-2-AM,"-02:52:18,424","-59:33:47,820","-02,8717844","-59,5632833",SIRGAS2000,"1757,2",Existe
2-PO-1-AL,"-09:37:26,113","-36:00:50,258","-09,6239203","-36,0139606",SIRGAS2000,,Existe
2-PR-1-PA,"-02:02:18,373","-55:50:47,375","-02,0384369","-55,8464931",SIRGAS2000,1418,Existe
2-QLST-1-BA,"-11:09:49,270","-38:10:14,925","-11,1636861","-38,1708125",SIRGAS2000,"1122,4",Existe
2-RAST-1-BA,"-09:39:04,274","-38:34:32,394","-09,6511872","-38,5756650",SIRGAS2000,"4109,5",Existe
2-RAST-2-BA,"-09:44:02,488","-38:40:53,692","-09,7340244","-38,6815811",SIRGAS2000,"3634,6",Existe
2-RCST-1-BA,"-11:15:58,913","-38:45:03,683","-11,2663647","-38,7510231",SIRGAS2000,"2591,9",Existe
2-RDST-1-AL,"-09:31:42,620","-35:41:02,755","-09,5285056","-35,6840986",SIRGAS2000,,Existe
2-RPST-1-BA,"-11:12:01,789","-38:19:34,724","-11,2004969","-38,3263122",SIRGAS2000,"4128,8",Existe
2-RPST-1-PA,"-01:07:32,248","-53:03:31,792","-01,1256244","-53,0588311",SIRGAS2000,"1664,1",Existe
2-RSST-1-AL,"-09:54:29,748","-36:05:28,755","-09,9082633","-36,0913208",SIRGAS2000,,Existe
2-SJST-1-AL,"-09:56:22,413","-36:03:42,631","-09,9395592","-36,0618419",SIRGAS2000,,Existe
2-SQST-1-BA,"-10:22:01,667","-38:15:13,334","-10,3671297","-38,2537039",SIRGAS2000,"4228,8",Existe
3-BSU-2D-BA,"-12:20:56,303","-38:27:51,053","-12,3489731","-38,4641814",SIRGAS2000,2090,
3-CER-11D-BA,"-11:56:02,509","-38:04:37,286","-11,9340303","-38,0770239",SIRGAS2000,1221,
4-AN-18-SE,"-10:45:30,838","-36:58:26,966","-10,7585661","-36,9741572",SIRGAS2000,1241,
4-ATS-14-SE,"-11:00:50,058","-37:04:48,726","-11,0139050","-37,0802017",SIRGAS2000,2605,
4-ATS-16A-SE,"-11:00:24,755","-37:03:49,889","-11,0068764","-37,0638581",SIRGAS2000,2384,
4-BRSA-158-ESS,"-21:20:59,840","-40:03:33,663","-21,3499556","-40,0593508",SIRGAS2000,3775,Existe
4-BRSA-185-SPS,"-24:30:06,399","-44:13:35,230","-24,5017775","-44,2264528",SIRGAS2000,4956,Existe
4-BRSA-249-ESS,"-20:03:10,163","-39:30:06,348","-20,0528231","-39,5017633",SIRGAS2000,4700,
4-BRSA-256-ESS,"-20:06:41,621","-39:30:03,167","-20,1115614","-39,5008797",SIRGAS2000,4689,Existe
4-BRSA-265-ESS,"-20:01:05,712","-39:19:00,238","-20,0182533","-39,3167328",SIRGAS2000,5568,Existe
4-BRSA-307-SCS,"-27:02:17,851","-46:53:36,571","-27,0382919","-46,8934919",SIRGAS2000,5303,Existe
4-BRSA-312-ESS,"-19:56:16,058","-39:25:50,061","-19,9377939","-39,4305725",SIRGAS2000,5218,Existe
4-BRSA-316-ESS,"-20:05:00,329","-39:32:35,788","-20,0834247","-39,5432744",SIRGAS2000,3880,Existe
4-BRSA-451-RJS,"-24:24:19,256","-42:18:40,449","-24,4053489","-42,3112358",SIRGAS2000,3414,Existe
4-BRSA-454-RJS,"-24:13:30,689","-42:49:15,026","-24,2251914","-42,8208406",SIRGAS2000,5403,Existe
4-BRSA-508-RJS,"-24:12:36,690","-42:43:37,345","-24,2101917","-42,7270403",SIRGAS2000,4712,Existe
4-BRSA-560-SPS,"-25:22:44,812","-45:18:33,940","-25,3791144","-45,3094278",SIRGAS2000,5283,Existe
4-BRSA-709-SPS,"-25:47:53,938","-43:27:29,498","-25,7983161","-43,4581939",SIRGAS2000,5343,Existe
4-BRSA-711-RJS,"-25:11:49,926","-42:54:27,744","-25,1972017","-42,9077067",SIRGAS2000,5799,Existe
4-BRSA-723C-SPS,"-25:52:00,319","-43:43:47,969","-25,8667553","-43,7299914",SIRGAS2000,6080,
4-BRSA-818-RJS,"-25:12:48,285","-43:23:56,265","-25,2134125","-43,3989625",SIRGAS2000,6586,
4-BRSA-946C-SPS,"-25:48:21,287","-43:50:59,555","-25,8059131","-43,8498764",SIRGAS2000,6175,
4-BRSA-971B-SPS,"-25:28:03,458","-43:59:28,369","-25,4676272","-43,9912136",SIRGAS2000,6671,
