POCO;Recebidos;Geoquímica de rocha;Geoquímica de fluido;Dados de rocha e fluido;CADASTRO;OPERADOR;POCO_OPERADOR;ESTADO;BACIA;BLOCO;SIG_CAMPO;CAMPO;TERRA_MAR;POCO_POS_ANP;TIPO;CATEGORIA;RECLASSIFICACAO;SITUACAO;INICIO;TERMINO;CONCLUSAO;TITULARIDADE;LATITUDE_BASE_4C;LONGITUDE_BASE_4C;LATITUDE_BASE_DD;LONGITUDE_BASE_DD;DATUM_HORIZONTAL;TIPO_DE_COORDENADA_DE_BASE;DIRECAO;PROFUNDIDADE_VERTICAL_M;PROFUNDIDADE_SONDADOR_M;PROFUNDIDADE_MEDIDA_M;REFERENCIA_DE_PROFUNDIDADE;MESA_ROTATIVA;COTA_ALTIMETRICA_M;LAMINA_D_AGUA_M;DATUM_VERTICAL;UNIDADE_ESTRATIGRAFICA;GEOLOGIA_GRUPO_FINAL;GEOLOGIA_FORMACAO_FINAL;GEOLOGIA_MEMBRO_FINAL;CDPE;AGP;PC;PAG;PERFIS_CONVENCIONAIS;DURANTE_PERFURACAO;PERFIS_DIGITAIS;PERFIS_PROCESSADOS;PERFIS_ESPECIAIS;AMOSTRA_LATERAL;SISMICA;TABELA_TEMPO_PROFUNDIDADE;DADOS_DIRECIONAIS;TESTE_A_CABO;TESTE_DE_FORMACAO;CANHONEIO;TESTEMUNHO;GEOQUIMICA;SIG_SONDA;NOM_SONDA;ATINGIU_PRESAL;DHA_ATUALIZACAO
6-BRSA-990-RJS;x;x;x;x;74281025770;Petrobras;6VL10RJS;RJ;Campos;;VL   ;VIOLA;M;S;6;Jazida Mais Profunda;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2011-10-03 00:00:00;2012-02-26 00:00:00;2012-04-30 00:00:00;Público;-22:21:37,946;-40:12:13,567;-22,3605405555;-40,2037686111;SIRGAS2000;Definitiva;Vertical;-5233.1;5250;5260.5;MR;25;0;219;NM;;;;;Existe;;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-48;PRIDE SOUTH ATLANTIC;S;44899.20838
1-BRSA-104-RJS;x;x;;x;74316019609;Petrobras;1RJS568;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;2001-09-08 00:00:00;2001-10-06 00:00:00;2001-10-10 00:00:00;Público;-24:37:45,442;-43:05:41,272;-24,6292894444;-43,0947977777;SIRGAS2000;Definitiva;Vertical;;4499;;MR;18;0;1629;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;;Existe;;Existe;Existe;;;;Existe;NS-24;NAVIS EXPLORER I;S;44899.20838
1-BRSA-137-RJS;x;x;;x;74316019886;Petrobras;1RJS583;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO PERMANENTEMENTE;2002-03-17 00:00:00;2002-03-29 00:00:00;2002-04-01 00:00:00;Público;-24:31:02,062;-42:33:37,356;-24,5172394444;-42,5603766666;SIRGAS2000;Definitiva;Vertical;;3466;;MR;18;0;1672;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;;;Existe;;;;;Existe;P-6;PETROBRAS VI;S;44899.20838
1-BRSA-182-RJS;x;x;;x;74281020278;Petrobras;1RJS602;RJ;Campos;BC-400;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;2002-12-22 00:00:00;2003-03-24 00:00:00;2003-04-01 00:00:00;Público;-22:22:22,556;-39:51:32,495;-22,3729322222;-39,8590263888;SIRGAS2000;Definitiva;Vertical;;5246;;MR;24;0;1293;NM;;;;;Existe;Existe;Existe;;Existe;Existe;Existe;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;SS-49;SEDCO 707;S;44899.20838
1-BRSA-597-RJS;x;x;;x;74316022911;Petrobras;1RJS655;RJ;Santos;S-M-322;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO;2008-03-27 00:00:00;2008-10-11 00:00:00;2008-11-28 00:00:00;Público;-24:25:58,109;-43:06:46,754;-24,4328080555;-43,1129872222;SIRGAS2000;Definitiva;Vertical;-5989;6030;6030;MR;27;0;1275;NM;;;;;Existe;Existe;Existe;;;Existe;Existe;;;;Existe;;Existe;;;;;Existe;NS-21;OCEAN CLIPPER;S;44899.20838
1-BRSA-757B-SPS;x;x;x;x;86316024069;Petrobras;1SPS68B;SP;Santos;BM-S-17;;;M;S;1;Pioneiro;SECO COM INDÍCIOS DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;2009-07-30 00:00:00;2009-11-08 00:00:00;2009-12-07 00:00:00;Público;-26:22:20,514;-45:00:52,487;-26,372365;-45,0145797222;SIRGAS2000;Definitiva;Vertical;-6420.8;6441;6445.8;MR;25;0;2254;NM;;;;;Existe;Existe;Existe;;Existe;;Existe;;;;Existe;;Existe;;;;;Existe;NS-22;DEEPWATER FRONTIER;S;44899.20838
1-BRSA-75B-ESS;x;x;x;x;34281019498;Petrobras;1ESS104B;ES;Campos;BC-15;;;M;S;1;Pioneiro;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO PERMANENTEMENTE;2001-06-09 00:00:00;2001-07-02 00:00:00;2001-07-08 00:00:00;Público;-21:03:47,152;-39:54:31,399;-21,0630977777;-39,9087219444;SIRGAS2000;Definitiva;Vertical;;3957;;MR;14;0;1583;NM;;;;;Existe;Existe;Existe;;Existe;Existe;Existe;;Existe;;Existe;;Existe;Existe;;;;Existe;SS-39;ALASKAN STAR;S;44899.20838
1-BRSA-789-ESS;x;x;;x;34271024382;Petrobras;1ESS191;ES;Espírito Santo;ES-M-525;;;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;2009-12-07 00:00:00;2010-03-28 00:00:00;2010-04-25 00:00:00;Público;-20:06:26,307;-39:12:15,411;-20,1073075;-39,2042808333;SIRGAS2000;Definitiva;Vertical;-5195;5209;5213;MR;18;0;1877;NM;;;;;Existe;Existe;Existe;;Existe;;Existe;;;;Existe;;Existe;Existe;;;;Existe;NS-22;DEEPWATER FRONTIER;S;44899.20838
1-BRSA-91-ESS;x;x;;x;34271019525;Petrobras;1ESS108;ES;Espírito Santo;BES-200;;;M;S;1;Pioneiro;SECO COM INDÍCIOS GÁS NATURAL;ABANDONADO PERMANENTEMENTE;2001-07-05 00:00:00;;2001-08-06 00:00:00;Público;-20:49:24,920;-39:11:33,378;-20,8235888888;-39,192605;SIRGAS2000;Definitiva;Vertical;;4970;;MR;25;0;2257;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;Existe;;Existe;;Existe;;Existe;;;Existe;NS-25;STENA DRILL MAX;S;44899.20838
1-BSS-77-SCS;x;x;;x;223160207900;;1BSS 0077  BS;SC;Santos;Brasil;;;M;N;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;1994-05-17 00:00:00;1994-06-18 00:00:00;1994-06-18 00:00:00;Público;-27:03:19,210;-46:23:58,390;-27,0553361111;-46,3995527777;SIRGAS2000;Definitiva;Vertical;0;4215;0;MR;12;0;585;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;Existe;Existe;Existe;SS-61;ENSCO 6004;S;44899.20838
6-BRSA-139D-ESS;x;x;x;x;34281019919;Petrobras;6ESS109D;ES;Campos;BC-60;JUB  ;JUBARTE;M;S;6;Jazida Mais Profunda;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO PERMANENTEMENTE;2002-04-05 00:00:00;2002-05-22 00:00:00;2002-06-07 00:00:00;Público;-21:15:06,149;-40:01:27,342;-21,2517080555;-40,0242616666;SIRGAS2000;Definitiva;Direcional;3614;3700;3700;MR;25;0;1323;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;Existe;Existe;;;;;;Existe;P-3;PETROBRAS III;S;44899.20838
1-BRSA-183D-RJS;x;x;;x;74281020282;Petrobras;1RJS598D;RJ;Santos;BS-500;;;M;S;1;Pioneiro;SECO SEM INDÍCIOS;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;01/01/2003 00:00;28/01/2003 00:00;01/02/2003 00:00;Público;-24:47:56,812;-42:37:53,060;-24.79911444;-42.63140556;SIRGAS2000;Definitiva;Direcional;;4622;;MR;22;0;1967;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;;Existe;;Existe;;;;;Existe;SS-59;SEDCO EXPRESS;S;04/12/2022 05:00
1-BRSA-18-ESS;x;x;x;x;34281019012;Petrobras;1ESS99;ES;Campos;BC-600;;;M;S;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO POR LOGÍSTICA EXPLORATÓRIA;36788;36864;36886;Público;-21:56:46,361;-39:28:46,867;-21.94621139;-39.47968528;SIRGAS2000;Definitiva;Vertical;;5510;;MR;24;0;2243;NM;;;;;Existe;Existe;Existe;;;;Existe;;;;Existe;;Existe;;;;;Existe;NS-20;DEEPWATER EXPEDITION;S;44899.20838
1-BRSA-369A-RJS;x;x;x;x;74316021508;Petrobras;1RJS628A;RJ;Santos;BM-S-11;TUP  ;TUPI;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO;ABANDONADO PERMANENTEMENTE;30/09/2005 00:00;13/08/2006 00:00;12/10/2006 00:00;Público;-25:28:56,223;-42:49:39,135;-25.48228417;-42.8275375;SIRGAS2000;Definitiva;Vertical;0;5957;5957;MR;25;0;2126;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;Existe;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-53;NOBLE PAUL WOLF;S;04/12/2022 05:00
1-BRSA-594-SPS;x;x;x;x;86316022894;Petrobras;1SPS55;SP;Santos;BM-S-9;SPH  ;SAPINHOÁ;M;S;1;Pioneiro;DESCOBRIDOR DE NOVA JAZIDA PETRÓLEO;ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO;39529;39630;39646;Público;-25:48:23,679;-43:13:31,011;-25.8065775;-43.22528083;SIRGAS2000;Definitiva;Vertical;5960;5993;5993;MR;32;0;2140;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;Existe;;Existe;;Existe;;Existe;;;Existe;NS-25;STENA DRILL MAX;S;44899.20838
1-BRSA-618-RJS;x;x;x;x;74316023043;Petrobras;1RJS656;RJ;Santos;BM-S-11;SRR  ;SURURU;M;S;1;Pioneiro;DESCOBRIDOR DE CAMPO COM PETRÓLEO;ABANDONADO PERMANENTEMENTE;39592;39680;39707;Público;-24:59:11,878;-42:36:50,634;-24.98663278;-42.614065;SIRGAS2000;Definitiva;Vertical;-6053.6;6080;6080;MR;25;0;2224;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;;Existe;SS-53;NOBLE PAUL WOLF;S;44899.20838
3-BRSA-496-RJS;x;x;x;x;74316022315;Petrobras;3RJS646;RJ;Santos;BM-S-11;TUP  ;TUPI;M;S;3;Extensão;PRODUTOR COMERCIAL DE PETRÓLEO;PRODUZINDO;39209;39287;39353;Público;-25:34:20,263;-42:49:45,587;-25.57229528;-42.82932972;SIRGAS2000;Definitiva;Vertical;-5289.7;5316;5316;MR;25;0;2172;NM;;;;;Existe;Existe;Existe;;Existe;Existe;;;;Existe;Existe;;Existe;Existe;Existe;;Existe;Existe;SS-53;NOBLE PAUL WOLF;S;44899.20838
1-BRSA-108A-ESS;x;x;x;x;34281019655;Petrobras;1ESS103A;ES;Campos;BC-60;JUB  ;JUBARTE;M;S;1;Pioneiro;PORTADOR DE PETRÓLEO E GÁS NATURAL;ABANDONADO PERMANENTEMENTE;37178;37269;37275;Público;-21:16:23,421;-40:00:11,994;-21.2731725;-40.00333167;SIRGAS2000;Definitiva;Vertical;4782;4802;4802;MR;14;0;1347;NM;;;;;Existe;Existe;Existe;;Existe;;Existe;;;;;;Existe;;Existe;Existe;;Existe;NS-20;DEEPWATER EXPEDITION;S;44899.20838
